# 대체당 제로 음료 티어 — 데이터 전문 (2026-09-03 기준)

제품 616개. 출처: 식품의약품안전처 품목제조보고 원재료(C002) + 공공데이터포털 전국통합식품영양성분정보(15100066).
열량·당류는 100mL(또는 100g)당 값이며 한 병 전체 기준이 아닙니다.
정본: https://zero-drinks-tier.vercel.app/  /  산출 코드: https://github.com/gulf1324/zero-drinks-tier

| 티어 | 제품명 | 제조사 | 감미료 | 열량 | 당류 | 용량 |
|---|---|---|---|---:|---:|---|
| 무감미료 | 마스터토닉워터제로 | 롯데칠성음료(주) | - | 0 | 0.00 | 410ml |
| 무감미료 | 코알라카르마 제로슈가 | (주)삼양패키징광혜원공장 | - | - | - | - |
| 무감미료 | 클리어제로 | 롯데칠성음료(주) | - | - | - | - |
| 무감미료 | 타이탄 제로 | 대경사과원예농협음료가공공장 | - | 2 | 0.00 | 350ml |
| 무감미료 | 하이트제로 0.00 | 오케이에프음료 주식회사 외 2곳 | - | 4 | 0.00 | 350g |
| S | 암바사 ZERO by 환타 | 코카콜라음료주식회사 외 1곳 | 알룰로오스(S,9) | 2 | 0.23 | 345ml |
| S | 제로칼로리 포도(알룰로스 100%) CAN | (주)금강비앤에프 | 알룰로오스(S,1) | - | - | - |
| S | 테라 제로 | 하이트진로(주) 외 3곳 | 알룰로오스(S,2) | 7 | 0.00 | 500ml |
| A | HITE ZERO 0.00 POMELO FLAVOR 하이트제로 0.00 포멜로향 | 대경사과원예농협음료가공공장 | 효소처리스테비아(A,14) | 4 | 0.00 | 350ml |
| A | Sunkist 보리텐 | 건강한사람들 주식회사 2사업장 | 효소처리스테비아(A,2) | 42 | 10.50 | 1500ml |
| A | XS Elite 피치 | 오케이에프음료 주식회사 | 알룰로오스(S,2) / 스테비올배당체(A,12) | 13 | 0.00 | 250ml |
| A | XS 그레이프후르츠 | 오케이에프음료 주식회사 | 알룰로오스(S,2) / 스테비올배당체(A,10) | 6 | 0.00 | 250ml |
| A | 브리보 프리바이오틱 소다복숭아 | 세븐브로이맥주 주식회사 외 1곳 | 효소처리스테비아(A,3) | 7 | 0.57 | 355ml |
| A | 브리보 프리바이오틱 소다사과 | 세븐브로이맥주 주식회사 외 1곳 | 효소처리스테비아(A,5) | 9 | 0.48 | 355ml |
| A | 스프라이트 시원한 배향 | 오케이에프음료 주식회사 | 스테비올배당체(A,7) | 28 | 7.00 | 500ml |
| A | 써니텐 멜론크림향 | 오케이에프음료 주식회사 외 1곳 | 스테비올배당체(A,5) | 32 | 8.00 | 250ml |
| A | 아리 포스트바이오틱 에너지드링크 레몬크레스트 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,8) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 블러시베리 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,12) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 오렌지아워 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,3) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 졸리스트로베리 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,12) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 체리노바 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,7) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 트로피칼웨이브 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,11) | - | - | - |
| A | 아리 포스트바이오틱 에너지드링크 피치선샤인 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,4) | - | - | - |
| A | 아임얼라이브 무쿠핏 | (주)코아바이오 | 알룰로오스(S,12) / 효소처리스테비아(A,6) | 11 | 0.40 | 155ml |
| A | 제로스파클링 피치블랙티 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,3) / 효소처리스테비아(A,5) | - | - | - |
| A | 카브루 레몬 | (주)카브루 비전브루어리 | 알룰로오스(S,9) / 효소처리스테비아(A,1) | 34 | 0.18 | 500ml |
| A | 코다팝 프리바이오틱 소다경주체리 | 농업회사법인(주)동의보굼 | 알룰로오스(S,2) / 스테비올배당체(A,3) | 14 | 1.70 | 250ml |
